"filename", "language", "YAML", "JSON", "Markdown", "TypeScript", "HTML", "Gradle", "Java Properties", "JavaScript", "JSON with Comments", "TypeScript JSX", "Batch", "Perl", "CSS", "MS SQL", "Python", "Rust", "XML", "Java", "Shell Script", "Docker", "pip requirements", "comment", "blank", "total"
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\config\redeem-codes.json", "JSON", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\package.json", "JSON", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 79
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\prisma\migrations\20260313_case_insensitive_username_unique\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\prisma\migrations\20260325_add_message_deleted_at\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\prisma\seed-quests.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 80
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\scripts\init-system-bot.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\scripts\prisma-generate-retry.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 67
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\server-clawcloud.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 40
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\server-railway.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 76
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\api-server.ts", "TypeScript", 0, 0, 0, 319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 56, 400
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\api\ai.ts", "TypeScript", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 67
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\api\analytics.ts", "TypeScript", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 81
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\api\apps.ts", "TypeScript", 0, 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34, 193
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\api\auditLogs.ts", "TypeScript", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 74
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\api\auth.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 31
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\api\beacoin.ts", "TypeScript", 0, 0, 0, 488, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 76, 584
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\api\channels.ts", "TypeScript", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 82
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\api\directMessages.ts", "TypeScript", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 129
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\api\folders.ts", "TypeScript", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 80
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\api\friends.ts", "TypeScript", 0, 0, 0, 309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 51, 371
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\api\gifs.ts", "TypeScript", 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 124
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\api\gifting.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\api\guilds.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 14, 75
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\api\health.ts", "TypeScript", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 76
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\api\index.ts", "TypeScript", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 91
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\api\interactions.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 16
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\api\media.ts", "TypeScript", 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 116
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\api\messages.ts", "TypeScript", 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21, 115
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\api\moderation.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 9, 51
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\api\notes.ts", "TypeScript", 0, 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 35, 246
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\api\notifications.ts", "TypeScript", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19, 135
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\api\quests.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\api\shop.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\api\users.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 36
